y,x,street_count,highway,railway,ref,junction,geometry
41.9263744,12.7381445,3,,,,,POINT (12.7381445 41.9263744)
41.9228716,12.7426329,3,,,,,POINT (12.7426329 41.9228716)
41.9188757,12.7450271,3,,,,,POINT (12.7450271 41.9188757)
41.9311118,12.738081,3,,,,,POINT (12.738081 41.9311118)
41.8569991,12.597113,3,,,,,POINT (12.597113 41.8569991)
41.8570308,12.5978361,3,,,,,POINT (12.5978361 41.8570308)
41.8571663,12.597766,3,,,,,POINT (12.597766 41.8571663)
41.8572571,12.5976053,3,,,,,POINT (12.5976053 41.8572571)
41.8567403,12.5975462,3,,,,,POINT (12.5975462 41.8567403)
41.9000336,12.4565284,3,,,,,POINT (12.4565284 41.9000336)
41.8990992,12.4562322,3,,,,,POINT (12.4562322 41.8990992)
41.90025,12.4565926,4,traffic_signals,,,,POINT (12.4565926 41.90025)
41.8994798,12.4544308,3,,,,,POINT (12.4544308 41.8994798)
41.899544,12.4551693,3,,,,,POINT (12.4551693 41.899544)
41.8993132,12.4558717,3,,,,,POINT (12.4558717 41.8993132)
41.896046,12.455504,3,,,,,POINT (12.455504 41.896046)
41.8984784,12.4548125,3,,,,,POINT (12.4548125 41.8984784)
41.8999377,12.4542526,4,,,,,POINT (12.4542526 41.8999377)
41.894638,12.4574978,4,,,,,POINT (12.4574978 41.894638)
41.8980652,12.4531492,3,,,,,POINT (12.4531492 41.8980652)
41.8987424,12.4547029,3,,,,,POINT (12.4547029 41.8987424)
41.8977994,12.455231,3,,,,,POINT (12.455231 41.8977994)
41.9014817,12.460664,4,,,,,POINT (12.460664 41.9014817)
41.895672,12.4654453,3,,,,,POINT (12.4654453 41.895672)
41.8964477,12.4665536,3,,,,,POINT (12.4665536 41.8964477)
41.9001317,12.4470524,3,,,,,POINT (12.4470524 41.9001317)
41.8965115,12.4496211,3,,,,,POINT (12.4496211 41.8965115)
41.8968819,12.4487392,3,,,,,POINT (12.4487392 41.8968819)
41.8948848,12.4519804,3,,,,,POINT (12.4519804 41.8948848)
41.8969645,12.4509999,3,,,,,POINT (12.4509999 41.8969645)
41.8959846,12.4501714,3,,,,,POINT (12.4501714 41.8959846)
41.8981677,12.4564327,3,,,,,POINT (12.4564327 41.8981677)
41.8977544,12.4550666,3,,,,,POINT (12.4550666 41.8977544)
41.8994856,12.4603354,4,,,,,POINT (12.4603354 41.8994856)
41.8996206,12.4622985,3,traffic_signals,,,,POINT (12.4622985 41.8996206)
41.9021865,12.461932,3,,,,,POINT (12.461932 41.9021865)
41.9016076,12.4619568,3,,,,,POINT (12.4619568 41.9016076)
41.8993626,12.4607334,3,,,,,POINT (12.4607334 41.8993626)
41.9021943,12.5062512,3,,,,,POINT (12.5062512 41.9021943)
41.9041514,12.5027481,3,,,,,POINT (12.5027481 41.9041514)
41.9017639,12.5056938,3,,,,,POINT (12.5056938 41.9017639)
41.9027561,12.5055222,4,,,,,POINT (12.5055222 41.9027561)
41.9032946,12.5062914,3,,,,,POINT (12.5062914 41.9032946)
41.9023712,12.5049506,4,,,,,POINT (12.5049506 41.9023712)
41.908414,12.4999828,3,,,,,POINT (12.4999828 41.908414)
41.9078749,12.4992168,3,traffic_signals,,,,POINT (12.4992168 41.9078749)
