osmid,highway,lanes,maxspeed,name,oneway,width,reversed,length,geometry,ref,access,bridge,junction,tunnel,area
31585882,residential,,RO:urban,Strada Cernei,False,,True,130.49726866459923,"LINESTRING (23.6228327 46.7835365, 23.6229591 46.7835807, 23.6234808 46.7838066, 23.6238241 46.7839517, 23.6238848 46.7839588, 23.6239395 46.7839416, 23.6242294 46.7837246)",,,,,,
31585888,residential,2,RO:urban,Strada Tribunul Vlăduțiu,False,,True,32.20009778275535,"LINESTRING (23.6251101 46.783955, 23.6247195 46.784066)",,,,,,
31585888,residential,2,RO:urban,Strada Tribunul Vlăduțiu,False,,False,152.33504408899725,"LINESTRING (23.6251101 46.783955, 23.625534 46.783134, 23.6257767 46.7826633)",,,,,,
31585888,residential,2,RO:urban,Strada Tribunul Vlăduțiu,False,,False,114.81999019664002,"LINESTRING (23.6257767 46.7826633, 23.6260605 46.7821358, 23.6261548 46.7819234, 23.6262569 46.781685)",,,,,,
31585888,residential,2,RO:urban,Strada Tribunul Vlăduțiu,False,,True,152.33504408899725,"LINESTRING (23.6257767 46.7826633, 23.625534 46.783134, 23.6251101 46.783955)",,,,,,
154212917,residential,2,RO:urban,Strada Teleorman,False,,True,144.82893179801397,"LINESTRING (23.6257767 46.7826633, 23.6259201 46.7826964, 23.6266295 46.7828459, 23.6268694 46.7829, 23.6269449 46.7829172, 23.6271437 46.7829549, 23.6271772 46.7829619, 23.6273254 46.7829928, 23.6273994 46.7830097, 23.6275912 46.7830534)",,,,,,
31585888,residential,2,RO:urban,Strada Tribunul Vlăduțiu,False,,True,114.81999019664002,"LINESTRING (23.6262569 46.781685, 23.6261548 46.7819234, 23.6260605 46.7821358, 23.6257767 46.7826633)",,,,,,
93481196,tertiary,2,30,Strada Dâmboviței,False,,False,129.84247445675337,"LINESTRING (23.6262569 46.781685, 23.6253638 46.7815255, 23.6251594 46.7814821, 23.6249051 46.781428, 23.6246202 46.7813595)",,,,,,
93481196,tertiary,2,30,Strada Dâmboviței,False,,True,167.0234500787325,"LINESTRING (23.6262569 46.781685, 23.6270358 46.7818087, 23.6272767 46.7818511, 23.6275571 46.7818959, 23.6281731 46.7820052, 23.6283877 46.7820412)",,,,,,
31585940,residential,2,RO:urban,Strada Răsăritului,False,,True,4.315927197457355,"LINESTRING (23.6251864 46.7843507, 23.6252421 46.7843435)",,,,,,
31585940,residential,2,RO:urban,Strada Răsăritului,False,,False,239.9314650530764,"LINESTRING (23.6251864 46.7843507, 23.6249218 46.78437, 23.6244619 46.7843932, 23.6220443 46.7845131)",,,,,,
"[360568128, 800357227]",tertiary,2,RO:urban,Strada Fabricii de Zahăr,False,,False,50.145286921260826,"LINESTRING (23.6251864 46.7843507, 23.6253588 46.784476, 23.6254057 46.7845065, 23.6256401 46.7846775)",,,,,,
800357227,tertiary,2,RO:urban,Strada Fabricii de Zahăr,False,,True,47.66937861803714,"LINESTRING (23.6251864 46.7843507, 23.6248257 46.7841439, 23.6247195 46.784066)",,,,,,
